,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
6923,22,6182,41503,30,-53,4,6188,41149,24,-65,4,6188.0,41122.0,23.0,-67.0,4.0,6188.0,41091.0,23.0,-67.0,4.0,6188.0,41092.0,26.0,-61.0,4.0,6188.0,41148.0,28.0,-57.0,4.0,1,1510411834460,33,23.0,29.0,80.0,25.0,28.0,121.220505,31.290893,121.214295,31.280418,121.216448,31.2893,121.211384,31.291563,121.217871,31.2808,121.218285,31.288788,1,28.0,121.21360191,31.2925434,7,7,2,3,3,3,3,2
1875,11,5198,38198,18,-77,4,5198,25312,15,-83,4,0.0,0.0,13.0,-87.0,4.0,5198.0,16059.0,17.0,-79.0,4.0,5198.0,16057.0,12.0,-89.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1509180114225,38,39.0,-999.0,36.0,63.0,-999.0,121.206769,31.28681,121.217402,31.281802,-999.0,-999.0,121.209767,31.284987,121.221136,31.293876,-999.0,-999.0,1,15.0,121.20456955,31.29020594,90,90,4,5,5,4,5,8
3081,13,6188,27377,22,-69,4,6182,44757,19,-75,4,6188.0,26049.0,20.0,-73.0,4.0,6188.0,27393.0,20.0,-73.0,4.0,6188.0,26051.0,18.0,-77.0,4.0,6188.0,27394.0,21.0,-71.0,4.0,2,1509265318951,8,44.0,10.0,16.0,1.0,5.0,121.208284,31.289647,121.213913,31.291614,121.211928,31.288649,121.208105,31.289402,121.211928,31.288649,121.208105,31.289402,1,22.1,121.21326809,31.29290401,126,126,3,4,4,4,4,4
2511,13,6188,20865,13,-87,4,6182,13698,10,-93,3,6188.0,27361.0,12.0,-89.0,4.0,6182.0,41139.0,12.0,-89.0,4.0,6188.0,27378.0,11.0,-91.0,3.0,6182.0,41594.0,11.0,-91.0,3.0,2,1509264714166,46,20.0,47.0,6.0,3.0,118.0,121.205655,31.277705,121.191709,31.287846,121.213131,31.283388,121.223131,31.287758,121.208284,31.289647,121.239263,31.290122,1,5.7,121.21580509,31.28950141,38,38,5,6,5,5,6,6
8969,29,5198,42518,25,-63,4,5198,49989,22,-69,4,5198.0,49988.0,19.0,-75.0,4.0,5198.0,56688.0,24.0,-65.0,4.0,5198.0,42517.0,17.0,-79.0,4.0,5198.0,17029.0,16.0,-81.0,4.0,1,1523111473531,139,145.0,147.0,140.0,141.0,35.0,121.218148,31.288526,121.217371,31.291607,121.228847,31.298519,121.22677,31.297156,121.218883,31.292806,121.221816,31.293837,1,47.6,121.21134094,31.2886254,54,54,3,3,4,3,4,5
8130,26,6188,41092,30,-53,4,6188,41124,22,-69,4,6188.0,41148.0,29.0,-55.0,4.0,6188.0,41122.0,28.0,-57.0,4.0,6188.0,41091.0,25.0,-63.0,4.0,6182.0,41503.0,22.0,-69.0,4.0,1,1511268144260,25,26.0,28.0,29.0,80.0,33.0,121.217871,31.2808,121.212407,31.282261,121.218285,31.288788,121.216448,31.2893,121.211384,31.291563,121.220505,31.290893,1,7.5,121.21337692,31.29206562,3,3,2,3,2,2,3,3
3613,14,6188,27378,21,-71,4,6188,26051,18,-77,4,6188.0,27361.0,16.0,-81.0,4.0,6188.0,27395.0,15.0,-83.0,4.0,6188.0,27394.0,18.0,-77.0,4.0,0.0,0.0,20.0,-73.0,4.0,1,1509266089632,3,1.0,47.0,4.0,5.0,-999.0,121.208284,31.289647,121.211928,31.288649,121.213131,31.283388,121.208105,31.289402,121.208105,31.289402,-999.0,-999.0,0,52.6,121.2085005,31.28525764,70,70,4,4,5,5,4,4
4757,16,6182,41233,31,-51,4,6182,44754,21,-71,4,6188.0,27393.0,27.0,-59.0,4.0,6188.0,27377.0,21.0,-71.0,4.0,6182.0,44757.0,21.0,-71.0,4.0,0.0,0.0,25.0,-63.0,4.0,1,1509524809134,11,45.0,16.0,8.0,44.0,-999.0,121.217245,31.291334,121.212896,31.291805,121.208105,31.289402,121.208284,31.289647,121.213913,31.291614,-999.0,-999.0,1,1.8,121.20707308,31.2932666,78,78,2,4,2,4,4,3
5843,18,5198,16058,23,-67,4,5198,17029,11,-91,3,5198.0,16059.0,12.0,-89.0,4.0,5198.0,16057.0,9.0,-95.0,3.0,5198.0,38198.0,9.0,-95.0,3.0,0.0,0.0,7.0,-99.0,2.0,1,1509700261873,31,35.0,36.0,63.0,38.0,-999.0,121.220639,31.281873,121.221816,31.293837,121.209767,31.284987,121.221136,31.293876,121.206769,31.28681,-999.0,-999.0,1,31.5,121.21386415,31.28903136,40,40,3,6,5,6,6,6
732,8,5198,16059,23,-67,4,5198,16057,21,-71,4,5198.0,16058.0,19.0,-75.0,4.0,5198.0,38198.0,19.0,-75.0,4.0,5198.0,17029.0,17.0,-79.0,4.0,5198.0,16519.0,14.0,-85.0,4.0,2,1508920844220,36,63.0,31.0,38.0,35.0,70.0,121.209767,31.284987,121.221136,31.293876,121.220639,31.281873,121.206769,31.28681,121.221816,31.293837,121.21814,31.304538,0,61.1,121.20594908,31.2924557,43,43,3,4,4,4,4,5
