,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
5931,22,6153,28032,30,-53,4,6153,27903,19,-75,4,6153.0,28031.0,17.0,-79.0,4.0,6153.0,27911.0,17.0,-79.0,4.0,6153.0,28021.0,20.0,-73.0,4.0,6153.0,27912.0,26.0,-61.0,4.0,1,1.53e+12,18,19.0,24.0,43.0,22.0,23.0,121.50187,31.284054,121.494429,31.278097,121.495261,31.288196,121.498572,31.286194,121.499699,31.276899,121.501757,31.285306,1,24.0,121.5002402,31.28495613,28,28,2,4,4,4,4,3
3314,17,6153,28021,31,-51,4,6153,27903,23,-67,4,6153.0,27913.0,31.0,-51.0,4.0,6153.0,27902.0,25.0,-63.0,4.0,6153.0,28033.0,27.0,-59.0,4.0,6153.0,28032.0,25.0,-63.0,4.0,0,1.52e+12,22,19.0,38.0,37.0,21.0,18.0,121.499699,31.276899,121.494429,31.278097,121.498646,31.28425,121.503581,31.28534,121.497323,31.285173,121.50187,31.284054,1,4.9,121.5101522,31.27946348,3,3,2,3,2,3,2,3
5853,22,6153,28032,31,-51,4,6153,27903,17,-79,4,6153.0,27913.0,18.0,-77.0,4.0,6153.0,28033.0,24.0,-65.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27912.0,23.0,-67.0,4.0,1,1.53e+12,18,19.0,38.0,21.0,24.0,23.0,121.50187,31.284054,121.494429,31.278097,121.498646,31.28425,121.497323,31.285173,121.495261,31.288196,121.501757,31.285306,1,26.8,121.4997159,31.28487056,28,28,2,4,4,3,4,3
5406,21,4199,29752,27,-59,4,4199,12499,22,-69,4,4199.0,29753.0,24.0,-65.0,4.0,4199.0,29742.0,20.0,-73.0,4.0,4199.0,29751.0,24.0,-65.0,4.0,4199.0,18539.0,16.0,-81.0,4.0,1,1.53e+12,6,1.0,5.0,12.0,9.0,13.0,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,121.49346,31.285513,121.499165,31.284763,1,25.0,121.4952976,31.28506331,50,26,2,3,3,4,3,5
5880,22,6153,28032,31,-51,4,6153,27903,19,-75,4,6153.0,27913.0,17.0,-79.0,4.0,6153.0,28033.0,23.0,-67.0,4.0,6153.0,28031.0,22.0,-69.0,4.0,6153.0,27912.0,31.0,-51.0,4.0,1,1.53e+12,18,19.0,38.0,21.0,24.0,23.0,121.50187,31.284054,121.494429,31.278097,121.498646,31.28425,121.497323,31.285173,121.495261,31.288196,121.501757,31.285306,1,10.3,121.4998886,31.28495126,28,28,2,4,4,3,3,2
5610,22,6153,27902,22,-69,4,6153,27903,19,-75,4,6153.0,28021.0,17.0,-79.0,4.0,6153.0,27913.0,24.0,-65.0,4.0,6153.0,28020.0,24.0,-65.0,4.0,6153.0,28031.0,17.0,-79.0,4.0,1,1.53e+12,37,19.0,22.0,38.0,25.0,24.0,121.503581,31.28534,121.494429,31.278097,121.499699,31.276899,121.498646,31.28425,121.498923,31.281691,121.495261,31.288196,0,61.7,121.4972875,31.28441988,17,17,3,4,4,3,3,4
2555,17,6305,17274,29,-55,4,6305,17144,20,-73,4,6305.0,17307.0,17.0,-79.0,4.0,6305.0,17146.0,18.0,-77.0,4.0,6362.0,29968.0,15.0,-83.0,4.0,6305.0,17179.0,16.0,-81.0,4.0,0,1.52e+12,54,57.0,49.0,74.0,52.0,71.0,121.51148,31.278201,121.505035,31.283008,121.510413,31.277189,121.505542,31.273821,121.504264,31.277168,121.513832,31.276985,1,4.9,121.5101522,31.27946348,3,3,2,4,4,4,5,5
3507,17,6153,28033,30,-53,4,6153,27902,21,-71,4,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27905.0,25.0,-63.0,4.0,6153.0,27913.0,27.0,-59.0,4.0,6153.0,28025.0,22.0,-69.0,4.0,0,1.52e+12,21,37.0,24.0,87.0,38.0,88.0,121.497323,31.285173,121.503581,31.28534,121.495261,31.288196,121.486917,31.274206,121.498646,31.28425,121.494803,31.283465,1,3.6,121.4967821,31.28346399,33,33,2,4,4,3,2,3
91,0,4199,29753,23,-67,4,4199,18639,20,-73,4,4199.0,29752.0,22.0,-69.0,4.0,4199.0,18469.0,16.0,-81.0,4.0,4199.0,29751.0,23.0,-67.0,4.0,4199.0,12499.0,18.0,-77.0,4.0,1,1.52e+12,5,4.0,6.0,11.0,9.0,1.0,121.492659,31.283734,121.490939,31.28661,121.494757,31.284161,121.496153,31.281763,121.49346,31.285513,121.485106,31.285941,1,27.9,121.4924762,31.28432964,24,24,3,4,3,5,3,4
5338,21,4199,29742,24,-65,4,4199,12499,20,-73,4,4199.0,29752.0,24.0,-65.0,4.0,4199.0,29753.0,18.0,-77.0,4.0,4199.0,29712.0,16.0,-81.0,4.0,4199.0,18539.0,16.0,-81.0,4.0,1,1.53e+12,12,1.0,6.0,5.0,15.0,13.0,121.495039,31.296587,121.485106,31.285941,121.494757,31.284161,121.492659,31.283734,121.49169,31.290129,121.499165,31.284763,1,11.4,121.495829,31.28607501,1,1,3,4,3,4,5,5
3482,17,6153,28020,24,-65,4,6153,27902,21,-71,4,6153.0,28021.0,21.0,-71.0,4.0,6153.0,28033.0,26.0,-61.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27903.0,21.0,-71.0,4.0,0,1.52e+12,25,37.0,22.0,21.0,24.0,19.0,121.498923,31.281691,121.503581,31.28534,121.499699,31.276899,121.497323,31.285173,121.495261,31.288196,121.494429,31.278097,1,3.6,121.4967821,31.28346399,33,33,3,4,4,3,4,4
3684,18,6153,27912,20,-73,4,6153,28032,17,-79,4,6362.0,29949.0,17.0,-79.0,4.0,6362.0,30071.0,12.0,-89.0,4.0,6153.0,28031.0,15.0,-83.0,4.0,6153.0,28021.0,12.0,-89.0,4.0,1,1.53e+12,23,18.0,20.0,64.0,24.0,22.0,121.501757,31.285306,121.50187,31.284054,121.508039,31.286935,121.503121,31.288529,121.495261,31.288196,121.499699,31.276899,1,14.7,121.5017685,31.28671652,15,15,4,4,4,5,5,5
276,0,4199,29753,25,-63,4,4199,18467,22,-69,4,4199.0,29752.0,19.0,-75.0,4.0,4199.0,29742.0,13.0,-87.0,4.0,4199.0,12499.0,14.0,-85.0,4.0,4199.0,18469.0,11.0,-91.0,3.0,1,1.52e+12,5,2.0,6.0,12.0,1.0,11.0,121.492659,31.283734,121.496847,31.283612,121.494757,31.284161,121.495039,31.296587,121.485106,31.285941,121.496153,31.281763,0,61.0,121.4955292,31.28347314,2,2,3,3,4,5,5,6
1316,13,6153,27909,20,-73,4,6153,28031,28,-57,4,0.0,0.0,18.0,-77.0,4.0,0.0,0.0,12.0,-89.0,4.0,0.0,0.0,10.0,-93.0,3.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.52e+12,46,24.0,-999.0,-999.0,-999.0,-999.0,121.487106,31.272866,121.495261,31.288196,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,9.5,121.4981504,31.28817357,7,7,4,2,4,5,6,1
2946,17,6362,29977,26,-61,4,6362,29978,21,-71,4,6362.0,29966.0,15.0,-83.0,4.0,6362.0,30075.0,18.0,-77.0,4.0,6362.0,29968.0,19.0,-75.0,4.0,6153.0,27912.0,17.0,-79.0,4.0,0,1.52e+12,63,60.0,56.0,40.0,52.0,23.0,121.503721,31.281037,121.504101,31.283884,121.507277,31.283308,121.505676,31.279911,121.504264,31.277168,121.501757,31.285306,1,4.9,121.5101522,31.27946348,3,3,3,4,5,4,4,4
4634,19,6153,27913,27,-59,4,6153,28021,14,-85,4,6153.0,28033.0,23.0,-67.0,4.0,6153.0,27902.0,16.0,-81.0,4.0,6153.0,27911.0,21.0,-71.0,4.0,6153.0,28031.0,22.0,-69.0,4.0,0,1.53e+12,38,22.0,21.0,37.0,43.0,24.0,121.498646,31.28425,121.499699,31.276899,121.497323,31.285173,121.503581,31.28534,121.498572,31.286194,121.495261,31.288196,0,52.9,121.4984368,31.28474463,21,21,2,5,3,5,4,3
180,0,4199,29751,31,-51,4,4199,29752,28,-57,4,4199.0,12499.0,17.0,-79.0,4.0,4199.0,29753.0,21.0,-71.0,4.0,4199.0,18639.0,21.0,-71.0,4.0,4199.0,29712.0,16.0,-81.0,4.0,1,1.52e+12,9,6.0,1.0,5.0,4.0,15.0,121.49346,31.285513,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.490939,31.28661,121.49169,31.290129,1,49.2,121.4944393,31.28496858,26,26,2,2,4,4,4,5
152,0,4199,29753,29,-55,4,4199,29752,24,-65,4,4199.0,29751.0,21.0,-71.0,4.0,4199.0,12499.0,18.0,-77.0,4.0,4199.0,29742.0,13.0,-87.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.52e+12,5,6.0,9.0,1.0,12.0,-999.0,121.492659,31.283734,121.494757,31.284161,121.49346,31.285513,121.485106,31.285941,121.495039,31.296587,-999.0,-999.0,1,28.5,121.494024,31.28480411,34,34,2,3,4,4,5,1
3520,17,6153,27905,31,-51,4,6153,28031,25,-63,4,6153.0,27913.0,22.0,-69.0,4.0,6153.0,28025.0,27.0,-59.0,4.0,6153.0,28033.0,31.0,-51.0,4.0,6153.0,27911.0,20.0,-73.0,4.0,0,1.52e+12,87,24.0,38.0,88.0,21.0,43.0,121.486917,31.274206,121.495261,31.288196,121.498646,31.28425,121.494803,31.283465,121.497323,31.285173,121.498572,31.286194,1,3.6,121.4967821,31.28346399,33,33,2,3,3,2,2,4
5305,21,4199,29742,25,-63,4,4199,12499,19,-75,4,4199.0,29743.0,15.0,-83.0,4.0,4199.0,29741.0,15.0,-83.0,4.0,4199.0,29752.0,18.0,-77.0,4.0,4199.0,29753.0,15.0,-83.0,4.0,1,1.53e+12,12,1.0,27.0,14.0,6.0,5.0,121.495039,31.296587,121.485106,31.285941,121.493918,31.287768,121.495055,31.288492,121.494757,31.284161,121.492659,31.283734,1,26.1,121.4957465,31.28629017,1,1,3,4,5,5,4,5
254,0,4199,29753,28,-57,4,4199,18467,30,-53,4,4199.0,18469.0,17.0,-79.0,4.0,4199.0,12499.0,16.0,-81.0,4.0,4199.0,29752.0,23.0,-67.0,4.0,4199.0,18619.0,19.0,-75.0,4.0,1,1.52e+12,5,2.0,11.0,1.0,6.0,16.0,121.492659,31.283734,121.496847,31.283612,121.496153,31.281763,121.485106,31.285941,121.494757,31.284161,121.499258,31.288113,1,11.9,121.4948057,31.28344581,59,59,2,2,4,5,3,4
3581,17,6153,28033,26,-61,4,6153,28024,20,-73,4,6153.0,27903.0,17.0,-79.0,4.0,6153.0,27913.0,19.0,-75.0,4.0,6153.0,28020.0,22.0,-69.0,4.0,6153.0,27902.0,19.0,-75.0,4.0,0,1.52e+12,21,89.0,19.0,38.0,25.0,37.0,121.497323,31.285173,121.494823,31.285815,121.494429,31.278097,121.498646,31.28425,121.498923,31.281691,121.503581,31.28534,0,276.7,121.4956486,31.28623343,17,1,3,4,4,4,3,4
5768,22,6153,28033,28,-57,4,6153,28031,23,-67,4,6153.0,27913.0,27.0,-59.0,4.0,6153.0,28032.0,16.0,-81.0,4.0,6153.0,27903.0,16.0,-81.0,4.0,6153.0,27902.0,17.0,-79.0,4.0,1,1.53e+12,21,24.0,38.0,18.0,19.0,37.0,121.497323,31.285173,121.495261,31.288196,121.498646,31.28425,121.50187,31.284054,121.494429,31.278097,121.503581,31.28534,1,29.7,121.4987665,31.28505256,20,20,2,3,2,5,5,4
5417,21,4199,29752,23,-67,4,4199,12499,22,-69,4,4199.0,29753.0,22.0,-69.0,4.0,4199.0,29742.0,20.0,-73.0,4.0,4199.0,29751.0,22.0,-69.0,4.0,4199.0,18539.0,15.0,-83.0,4.0,1,1.53e+12,6,1.0,5.0,12.0,9.0,13.0,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,121.49346,31.285513,121.499165,31.284763,1,8.7,121.4954805,31.28507536,50,50,3,3,3,4,3,5
