,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
2845,13,6188,26050,16,-81,4,6188,27378,14,-85,4,6188.0,27377.0,15.0,-83.0,4.0,6188.0,26051.0,17.0,-79.0,4.0,6188.0,27394.0,16.0,-81.0,4.0,6182.0,41139.0,14.0,-85.0,4.0,2,1509265068390,7,3.0,8.0,1.0,5.0,6.0,121.211928,31.288649,121.208284,31.289647,121.208284,31.289647,121.211928,31.288649,121.208105,31.289402,121.223131,31.287758,1,16.9,121.2139102,31.28928349,40,40,5,5,5,4,5,5
412,6,6188,27377,30,-53,4,6188,27393,22,-69,4,6188.0,26049.0,25.0,-63.0,4.0,6188.0,27394.0,24.0,-65.0,4.0,6188.0,27378.0,20.0,-73.0,4.0,6188.0,26051.0,27.0,-59.0,4.0,0,1508477476352,8,16.0,10.0,5.0,3.0,1.0,121.208284,31.289647,121.208105,31.289402,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.211928,31.288649,1,27.1,121.21262792,31.29069512,48,48,2,3,3,3,4,2
12083,59,5198,42507,20,-73,4,5198,56688,12,-89,4,5198.0,46199.0,12.0,-89.0,4.0,5198.0,50809.0,12.0,-89.0,4.0,5198.0,42518.0,11.0,-91.0,3.0,0.0,0.0,11.0,-91.0,3.0,1,1524101659829,142,140.0,159.0,149.0,139.0,-999.0,121.221928,31.289447,121.22677,31.297156,121.240644,31.324602,121.229014,31.288648,121.218148,31.288526,-999.0,-999.0,1,39.5,121.2133417,31.28591374,57,57,4,5,5,5,6,6
7711,25,6188,41124,31,-51,4,6188,41092,26,-61,4,6188.0,41149.0,24.0,-65.0,4.0,6188.0,41123.0,22.0,-69.0,4.0,6188.0,41148.0,24.0,-65.0,4.0,6188.0,41122.0,25.0,-63.0,4.0,1,1511175191443,26,25.0,23.0,27.0,28.0,29.0,121.212407,31.282261,121.217871,31.2808,121.214295,31.280418,121.218509,31.286137,121.218285,31.288788,121.216448,31.2893,0,65.5,121.21044575,31.28795664,54,54,2,3,3,3,3,3
12326,62,5198,56688,17,-79,4,5198,49989,13,-87,4,5198.0,49988.0,16.0,-81.0,4.0,5198.0,42518.0,10.0,-93.0,3.0,5198.0,17029.0,10.0,-93.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1524149580394,140,145.0,147.0,139.0,35.0,-999.0,121.22677,31.297156,121.217371,31.291607,121.228847,31.298519,121.218148,31.288526,121.221816,31.293837,-999.0,-999.0,0,52.9,121.21455101,31.29161217,30,30,4,5,5,6,6,8
5713,18,5198,20608,20,-73,4,0,0,12,-89,4,5198.0,20609.0,16.0,-81.0,4.0,0.0,0.0,13.0,-87.0,4.0,5198.0,16237.0,13.0,-87.0,4.0,5198.0,36811.0,15.0,-83.0,4.0,1,1509699995478,34,-999.0,71.0,-999.0,58.0,42.0,121.221072,31.257603,-999.0,-999.0,121.220501,31.276284,-999.0,-999.0,121.223069,31.282024,121.210909,31.27847,1,30.5,121.21210228,31.2858643,58,58,4,5,5,5,5,5
11801,55,5198,42518,18,-77,4,5198,49989,15,-83,4,5198.0,56688.0,16.0,-81.0,4.0,5198.0,1186.0,13.0,-87.0,4.0,5198.0,42507.0,18.0,-77.0,4.0,5198.0,20609.0,14.0,-85.0,4.0,1,1524026574038,139,145.0,140.0,129.0,142.0,71.0,121.218148,31.288526,121.217371,31.291607,121.22677,31.297156,121.214195,31.287784,121.221928,31.289447,121.220501,31.276284,1,44.0,121.20995595,31.2869173,52,10,4,5,5,5,4,5
3466,13,6182,13666,14,-85,4,6182,13698,15,-83,4,6182.0,13394.0,14.0,-85.0,4.0,0.0,0.0,12.0,-89.0,4.0,6188.0,27379.0,13.0,-87.0,4.0,6188.0,20897.0,13.0,-87.0,4.0,2,1509265727162,13,20.0,40.0,-999.0,37.0,74.0,121.191709,31.287846,121.191709,31.287846,121.202787,31.292964,-999.0,-999.0,121.208284,31.289647,121.205033,31.285474,1,43.9,121.2073661,31.28483199,118,118,5,5,5,5,5,5
9489,33,5198,42519,31,-51,4,5198,42518,21,-71,4,0.0,0.0,18.0,-77.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1523511920142,143,139.0,-999.0,-999.0,-999.0,-999.0,121.217792,31.288293,121.218148,31.288526,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,66.1,121.20748973,31.2896436,97,97,2,4,4,8,8,8
11455,50,5198,42518,27,-59,4,5198,42507,12,-89,4,5198.0,49989.0,18.0,-77.0,4.0,5198.0,49988.0,16.0,-81.0,4.0,5198.0,1188.0,18.0,-77.0,4.0,5198.0,42517.0,18.0,-77.0,4.0,1,1523882510504,139,142.0,145.0,147.0,113.0,141.0,121.218148,31.288526,121.221928,31.289447,121.217371,31.291607,121.228847,31.298519,121.214195,31.288478,121.218883,31.292806,1,20.8,121.21064565,31.28773513,93,93,2,5,4,5,4,4
