,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
1534,14,6153,27913,27,-59,4,6153,28021,29,-55,4,6153.0,28033.0,27.0,-59.0,4.0,6153.0,27903.0,24.0,-65.0,4.0,6153.0,27902.0,21.0,-71.0,4.0,6153.0,28032.0,25.0,-63.0,4.0,1,1.51e+12,38,22.0,21.0,19.0,37.0,18.0,121.498646,31.28425,121.499699,31.276899,121.497323,31.285173,121.494429,31.278097,121.503581,31.28534,121.50187,31.284054,1,35.9,121.4984226,31.28342546,32,32,2,2,2,3,4,3
2137,16,6153,27912,31,-51,4,6153,27903,20,-73,4,6153.0,28021.0,17.0,-79.0,4.0,6362.0,30073.0,21.0,-71.0,4.0,6362.0,41027.0,17.0,-79.0,4.0,6153.0,28032.0,27.0,-59.0,4.0,1,1.51e+12,23,19.0,22.0,55.0,59.0,18.0,121.501757,31.285306,121.494429,31.278097,121.499699,31.276899,121.507842,31.28561,121.509291,31.286813,121.50187,31.284054,0,53.4,121.5016583,31.28468258,58,44,2,4,4,4,4,2
3600,18,6153,27912,28,-57,4,6153,28032,26,-61,4,6362.0,30073.0,17.0,-79.0,4.0,6153.0,28021.0,16.0,-81.0,4.0,6362.0,29949.0,18.0,-77.0,4.0,6153.0,27903.0,18.0,-77.0,4.0,1,1.53e+12,23,18.0,55.0,22.0,20.0,19.0,121.501757,31.285306,121.50187,31.284054,121.507842,31.28561,121.499699,31.276899,121.508039,31.286935,121.494429,31.278097,1,9.4,121.5019552,31.2862102,19,19,2,3,4,5,4,4
2227,16,6153,28032,27,-59,4,6362,30073,19,-75,4,6153.0,27912.0,22.0,-69.0,4.0,6362.0,30075.0,17.0,-79.0,4.0,6305.0,17274.0,18.0,-77.0,4.0,6153.0,28033.0,22.0,-69.0,4.0,1,1.51e+12,18,55.0,23.0,40.0,54.0,21.0,121.50187,31.284054,121.507842,31.28561,121.501757,31.285306,121.505676,31.279911,121.51148,31.278201,121.497323,31.285173,1,40.6,121.5057983,31.28303658,30,30,2,4,3,4,4,3
1747,15,6153,28032,31,-51,4,6153,27913,20,-73,4,6153.0,27903.0,23.0,-67.0,4.0,6153.0,27912.0,28.0,-57.0,4.0,6153.0,28021.0,18.0,-77.0,4.0,0.0,0.0,18.0,-77.0,4.0,0,1.51e+12,18,38.0,19.0,23.0,22.0,-999.0,121.50187,31.284054,121.498646,31.28425,121.494429,31.278097,121.501757,31.285306,121.499699,31.276899,-999.0,-999.0,1,25.7,121.4969439,31.28375822,17,17,2,4,3,2,4,4
4895,20,6153,27902,23,-67,4,6153,27903,26,-61,4,6153.0,28020.0,27.0,-59.0,4.0,6153.0,27913.0,23.0,-67.0,4.0,6153.0,28033.0,26.0,-61.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,1,1.53e+12,37,19.0,25.0,38.0,21.0,24.0,121.503581,31.28534,121.494429,31.278097,121.498923,31.281691,121.498646,31.28425,121.497323,31.285173,121.495261,31.288196,0,65.4,121.496525,31.28448414,17,17,3,3,2,3,3,4
5356,21,4199,29752,25,-63,4,4199,12499,24,-65,4,4199.0,29753.0,23.0,-67.0,4.0,4199.0,29742.0,24.0,-65.0,4.0,0.0,0.0,19.0,-75.0,4.0,0.0,0.0,19.0,-75.0,4.0,1,1.53e+12,6,1.0,5.0,12.0,-999.0,-999.0,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,-999.0,-999.0,-999.0,-999.0,1,7.3,121.495691,31.28599438,1,1,3,3,3,3,4,4
6042,22,6153,27912,24,-65,4,6153,27903,15,-83,4,6153.0,28032.0,21.0,-71.0,4.0,6153.0,27902.0,14.0,-85.0,4.0,6153.0,28021.0,13.0,-87.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1.53e+12,23,19.0,18.0,37.0,22.0,-999.0,121.501757,31.285306,121.494429,31.278097,121.50187,31.284054,121.503581,31.28534,121.499699,31.276899,-999.0,-999.0,1,43.1,121.5017627,31.28441228,49,49,3,5,4,5,5,8
1946,16,6153,28020,31,-51,4,6153,27902,25,-63,4,6153.0,28021.0,23.0,-67.0,4.0,6153.0,28033.0,25.0,-63.0,4.0,6153.0,27903.0,23.0,-67.0,4.0,6153.0,27913.0,28.0,-57.0,4.0,1,1.51e+12,25,37.0,22.0,21.0,19.0,38.0,121.498923,31.281691,121.503581,31.28534,121.499699,31.276899,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,1,18.4,121.4961477,31.28312847,2,2,2,3,3,3,3,2
1942,16,6153,28020,31,-51,4,6153,27902,26,-61,4,6153.0,28021.0,23.0,-67.0,4.0,6153.0,28033.0,24.0,-65.0,4.0,6153.0,27903.0,23.0,-67.0,4.0,6153.0,27913.0,25.0,-63.0,4.0,1,1.51e+12,25,37.0,22.0,21.0,19.0,38.0,121.498923,31.281691,121.503581,31.28534,121.499699,31.276899,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,1,20.1,121.4961702,31.28311513,2,2,2,3,3,3,3,3
