RNCID_1,CellID_1,Lon,Lat,BSID
6188,26051,121.211928,31.288649,1
6188,25105,121.211975,31.276588,2
6188,27378,121.208284,31.289647,3
6188,27395,121.208105,31.289402,4
6188,27394,121.208105,31.289402,5
6182,41139,121.223131,31.287758,6
6188,26050,121.211928,31.288649,7
6188,27377,121.208284,31.289647,8
6188,41146,121.209638,31.285875,9
6188,26049,121.211928,31.288649,10
6182,41233,121.217245,31.291334,11
6182,41235,121.206155,31.294312,12
6182,13666,121.191709,31.287846,13
6188,21329,121.203915,31.280386,14
6188,21331,121.203915,31.280386,15
6188,27393,121.208105,31.289402,16
6188,25761,121.224621,31.278733,17
6188,25089,121.211975,31.276588,18
6188,40957,121.198241,31.279433,19
6182,13698,121.191709,31.287846,20
6182,44771,121.22292,31.287199,21
6188,41076,121.220772,31.275301,22
6188,41149,121.214295,31.280418,23
6188,41094,121.218479,31.276852,24
6188,41092,121.217871,31.2808,25
6188,41124,121.212407,31.282261,26
6188,41123,121.218509,31.286137,27
6188,41148,121.218285,31.288788,28
6188,41122,121.216448,31.2893,29
6188,41055,121.216674,31.287692,30
5198,16058,121.220639,31.281873,31
6188,22673,121.213001,31.289531,32
6182,41503,121.220505,31.290893,33
5198,20608,121.221072,31.257603,34
5198,17029,121.221816,31.293837,35
5198,16059,121.209767,31.284987,36
6188,27379,121.208284,31.289647,37
5198,38198,121.206769,31.28681,38
5198,25312,121.217402,31.281802,39
6182,13394,121.202787,31.292964,40
6182,44772,121.222617,31.290824,41
5198,36811,121.210909,31.27847,42
6188,25633,121.215471,31.274783,43
6182,44757,121.213913,31.291614,44
6182,44754,121.212896,31.291805,45
6188,20865,121.205655,31.277705,46
6188,27361,121.213131,31.283388,47
6182,44775,121.223129,31.291293,48
6188,41127,121.233326,31.274399,49
6182,44770,121.223233,31.287403,50
6188,41154,121.217258,31.277603,51
6188,27314,121.218167,31.28458,52
6188,41150,121.2048,31.285646,53
6182,40819,121.200112,31.285283,54
6188,41152,121.215012,31.286106,55
5198,49663,121.221488,31.282112,56
5198,64581,121.246342,31.274067,57
5198,16237,121.223069,31.282024,58
5198,41518,121.191743,31.278703,59
6188,41102,121.221804,31.280844,60
6151,14542,121.29599,31.276411,61
6188,25859,121.233472,31.273558,62
5198,16057,121.221136,31.293876,63
5198,38197,121.198321,31.29532,64
5198,32914,121.184069,31.245564,65
6182,41581,121.198969,31.306504,66
6182,40789,121.193621,31.295138,67
6188,41075,121.223293,31.284386,68
6182,41607,121.218675,31.293412,69
5198,16519,121.21814,31.304538,70
5198,20609,121.220501,31.276284,71
5198,64092,121.23006,31.302692,72
6188,25763,121.218483,31.276604,73
6188,20897,121.205033,31.285474,74
6188,41118,121.220457,31.275258,75
5198,49472,121.217445,31.26552,76
5198,17739,121.250353,31.286697,77
5198,23603,121.246283,31.296038,78
6188,41093,121.206472,31.284913,79
6188,41091,121.211384,31.291563,80
6182,44755,121.199111,31.293906,81
6188,40967,121.211559,31.28031,82
6188,41121,121.219802,31.274576,83
5198,16367,121.171706,31.262516,84
6188,41065,121.226176,31.287765,85
5198,25311,121.220183,31.278542,86
6182,41525,121.22085,31.287944,87
6182,44774,121.232269,31.291447,88
6168,40025,121.239591,31.270239,89
6188,25090,121.218437,31.276628,90
6182,41514,121.221974,31.309473,91
6182,41234,121.210058,31.291577,92
6188,41116,121.225939,31.278434,93
5198,49471,121.214895,31.270649,94
5198,63811,121.247549,31.275009,95
5198,1178,121.211671,31.287247,96
5198,32925,121.209703,31.265739,97
6188,41119,121.226614,31.273554,98
6182,44753,121.206402,31.307533,99
5198,49661,121.223022,31.288829,100
6182,41155,121.223256,31.276181,101
6182,41520,121.221986,31.300701,102
6183,40896,121.220054,31.316124,103
6182,41510,121.182915,31.310633,104
6182,41567,121.221982,31.298528,105
6188,40952,121.21082,31.279706,106
5198,47653,121.252905,31.249036,107
5198,16239,121.218191,31.269995,108
6188,25187,121.221183,31.275122,109
6182,13393,121.200797,31.294397,110
5198,23511,121.224303,31.290044,111
5198,35663,121.242058,31.281039,112
5198,1188,121.214195,31.288478,113
6188,41100,121.223173,31.288895,114
5198,32924,121.187941,31.278148,115
5198,39791,121.249283,31.267927,116
6182,41137,121.222863,31.290584,117
6182,41594,121.239263,31.290122,118
6168,39996,121.24518,31.282628,119
6188,41085,121.216261,31.262635,120
5198,46478,121.177727,31.287929,121
5198,12438,121.164142,31.28892,122
5198,17067,121.2329,31.302253,123
6188,41017,121.211232,31.279999,124
6182,44758,121.198949,31.294939,125
6182,13395,121.199638,31.293348,126
6181,41286,121.244161,31.260716,127
5198,16548,121.177765,31.294565,128
5198,1186,121.214195,31.287784,129
6188,25106,121.218463,31.27662,130
6188,27313,121.218205,31.284062,131
6188,20867,121.191678,31.283642,132
5198,30443,121.24243,31.331649,133
6188,20993,121.204537,31.262129,134
2188,50872,121.262196,31.281743,135
5198,63931,121.260681,31.270904,136
5198,56689,121.211317,31.291577,137
5198,1187,121.220609,31.294733,138
5198,42518,121.218148,31.288526,139
5198,56688,121.22677,31.297156,140
5198,42517,121.218883,31.292806,141
5198,42507,121.221928,31.289447,142
5198,42519,121.217792,31.288293,143
5198,44572,121.228681,31.256506,144
5198,49989,121.217371,31.291607,145
5198,42508,121.226213,31.283596,146
5198,49988,121.228847,31.298519,147
5198,42509,121.223001,31.284943,148
5198,50809,121.229014,31.288648,149
5198,50807,121.229283,31.292171,150
5198,43857,121.2145,31.290457,151
5198,43858,121.217796,31.28377,152
5198,56687,121.21968,31.299609,153
6151,14547,121.252311,31.307494,154
6151,14553,121.308629,31.26965,155
6188,41067,121.228703,31.288738,156
5198,57368,121.207295,31.294584,157
5198,64742,121.228481,31.307493,158
5198,46199,121.240644,31.324602,159
6188,41147,121.224491,31.296325,160
6182,1941,121.217388,31.297609,161
5198,51498,121.204431,31.292257,162
5198,57857,121.229872,31.277747,163
5198,48418,121.228638,31.308957,164
5198,56877,121.229981,31.280819,165
5198,50808,121.227571,31.283401,166
5198,42749,121.229613,31.293263,167
6188,41155,121.225966,31.280947,168
5198,57367,121.203442,31.299296,169
5198,43518,121.216159,31.320659,170
5198,1177,121.220609,31.294733,171
