MNC,RNCID,CellID,Lon,Lat,BSID
1,4199,12499,121.485106,31.285941,1
1,4199,18467,121.496847,31.283612,2
1,4199,23731,121.488427,31.283958,3
1,4199,18639,121.490939,31.28661,4
1,4199,29753,121.492659,31.283734,5
1,4199,29752,121.494757,31.284161,6
1,4199,48601,121.484975,31.285418,7
1,4199,18637,121.490507,31.287144,8
1,4199,29751,121.49346,31.285513,9
1,4199,18638,121.492016,31.295198,10
1,4199,18469,121.496153,31.281763,11
1,4199,29742,121.495039,31.296587,12
1,4199,18539,121.499165,31.284763,13
1,4199,29741,121.495055,31.288492,14
1,4199,29712,121.49169,31.290129,15
1,4199,18619,121.499258,31.288113,16
1,4199,18468,121.497084,31.281895,17
0,6153,28032,121.50187,31.284054,18
0,6153,27903,121.494429,31.278097,19
0,6362,29949,121.508039,31.286935,20
0,6153,28033,121.497323,31.285173,21
0,6153,28021,121.499699,31.276899,22
0,6153,27912,121.501757,31.285306,23
0,6153,28031,121.495261,31.288196,24
0,6153,28020,121.498923,31.281691,25
1,4199,18537,121.499263,31.287606,26
1,4199,29743,121.493918,31.287768,27
1,4199,12498,121.499286,31.289474,28
1,4199,18538,121.502463,31.284142,29
1,4199,57629,121.499677,31.279849,30
1,4199,18447,121.498755,31.278277,31
1,4199,18317,121.500524,31.287906,32
1,4199,18618,121.499455,31.28776,33
1,4199,18319,121.501661,31.28321,34
1,4199,18318,121.506933,31.28703,35
1,4199,18617,121.497054,31.288084,36
0,6153,27902,121.503581,31.28534,37
0,6153,27913,121.498646,31.28425,38
0,6153,28022,121.492686,31.281446,39
0,6362,30075,121.505676,31.279911,40
0,6153,27904,121.493407,31.287705,41
0,6153,27930,121.494086,31.282709,42
0,6153,27911,121.498572,31.286194,43
0,6153,28027,121.496665,31.287575,44
0,6185,28209,121.487916,31.287798,45
0,6153,27909,121.487106,31.272866,46
0,6362,29967,121.511947,31.281646,47
0,6362,30074,121.51078,31.282514,48
0,6305,17307,121.510413,31.277189,49
0,6362,30094,121.510224,31.279669,50
0,6305,58243,121.514716,31.281609,51
0,6362,29968,121.504264,31.277168,52
0,6362,30095,121.51017,31.279698,53
0,6305,17274,121.51148,31.278201,54
0,6362,30073,121.507842,31.28561,55
0,6362,29966,121.507277,31.283308,56
0,6305,17144,121.505035,31.283008,57
0,6153,27940,121.497584,31.27897,58
0,6362,41027,121.509291,31.286813,59
0,6362,29978,121.504101,31.283884,60
0,6362,41970,121.512357,31.287002,61
0,6362,30086,121.505124,31.28411,62
0,6362,29977,121.503721,31.281037,63
0,6362,30071,121.503121,31.288529,64
0,6362,29964,121.501896,31.289365,65
0,6362,30014,121.515213,31.28467,66
0,6362,29970,121.502874,31.2842,67
0,6305,17154,121.513278,31.277067,68
0,6305,58291,121.514541,31.281636,69
0,6305,17287,121.513375,31.276554,70
0,6305,17179,121.513832,31.276985,71
0,6305,17177,121.513451,31.279099,72
0,6305,17306,121.515,31.276842,73
0,6305,17146,121.505542,31.273821,74
0,6305,17275,121.50996,31.275711,75
0,6305,17145,121.511609,31.277959,76
0,6153,27850,121.505142,31.274433,77
0,6153,27937,121.504202,31.277213,78
0,6153,27925,121.504262,31.278191,79
0,6153,27924,121.502828,31.279403,80
0,6362,30001,121.504369,31.280217,81
0,6153,27950,121.50013,31.274892,82
0,6362,30093,121.502866,31.282649,83
0,6153,27852,121.494492,31.278723,84
0,6153,27853,121.499588,31.274909,85
0,6153,27941,121.499156,31.276288,86
0,6153,27905,121.486917,31.274206,87
0,6153,28025,121.494803,31.283465,88
0,6153,28024,121.494823,31.285815,89
0,6362,30078,121.502301,31.286126,90
0,6185,28102,121.480695,31.295819,91
0,6153,28055,121.492476,31.281395,92
0,6153,28028,121.496234,31.288351,93
0,6153,27907,121.485932,31.273071,94
0,6185,28152,121.495932,31.289067,95
0,6153,28023,121.496873,31.284712,96
0,6153,27906,121.488618,31.271651,97
0,6185,28271,121.492339,31.286412,98
0,6185,28150,121.497536,31.288448,99
0,6185,28151,121.492301,31.286463,100
1,4199,12497,121.493193,31.292956,101
0,6362,30088,121.502488,31.283954,102
0,6362,30092,121.503238,31.283468,103
0,6362,30090,121.503194,31.283402,104
0,6362,30091,121.503735,31.283723,105
