,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
9417,32,5198,56688,19,-75,4,5198,49988,24,-65,4,5198.0,49989.0,18.0,-77.0,4.0,5198.0,42518.0,17.0,-79.0,4.0,5198.0,56687.0,14.0,-85.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1523364460394,140,147.0,145.0,139.0,153.0,-999.0,121.22677,31.297156,121.228847,31.298519,121.217371,31.291607,121.218148,31.288526,121.21968,31.299609,-999.0,-999.0,121.21366844,31.29177192,30
5007,16,6188,27378,23,-67,4,6188,26051,17,-79,4,6151.0,14542.0,15.0,-83.0,4.0,6188.0,27377.0,13.0,-87.0,4.0,6188.0,41119.0,14.0,-85.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1509525273712,3,1.0,61.0,8.0,98.0,-999.0,121.208284,31.289647,121.211928,31.288649,121.29599,31.276411,121.208284,31.289647,121.226614,31.273554,-999.0,-999.0,121.21105328,31.28221914,13
11248,49,5198,42507,29,-55,4,5198,44572,17,-79,4,5198.0,42518.0,22.0,-69.0,4.0,5198.0,42509.0,25.0,-63.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1523874011421,142,144.0,139.0,148.0,-999.0,-999.0,121.221928,31.289447,121.228681,31.256506,121.218148,31.288526,121.223001,31.284943,-999.0,-999.0,-999.0,-999.0,121.20982558,31.28643935,10
531,7,6188,27361,15,-83,4,6188,26051,12,-89,4,6188.0,20865.0,11.0,-91.0,3.0,6188.0,27395.0,9.0,-95.0,3.0,0.0,0.0,7.0,-99.0,2.0,0.0,0.0,7.0,-99.0,2.0,1,1508593656457,47,1.0,46.0,4.0,-999.0,-999.0,121.213131,31.283388,121.211928,31.288649,121.205655,31.277705,121.208105,31.289402,-999.0,-999.0,-999.0,-999.0,121.20907318,31.28406092,46
5779,18,5198,16059,16,-81,4,5198,20608,10,-93,3,5198.0,49663.0,9.0,-95.0,3.0,0.0,0.0,10.0,-93.0,3.0,0.0,0.0,9.0,-95.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1509700130824,36,34.0,56.0,-999.0,-999.0,-999.0,121.209767,31.284987,121.221072,31.257603,121.221488,31.282112,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,121.21309338,31.28733036,133
9203,32,5198,42507,25,-63,4,0,0,14,-85,4,5198.0,42508.0,15.0,-83.0,4.0,5198.0,42509.0,24.0,-65.0,4.0,5198.0,42518.0,13.0,-87.0,4.0,5198.0,42519.0,10.0,-93.0,3.0,2,1523364223229,142,-999.0,146.0,148.0,139.0,143.0,121.221928,31.289447,-999.0,-999.0,121.226213,31.283596,121.223001,31.284943,121.218148,31.288526,121.217792,31.288293,121.21022188,31.28483831,66
3775,14,6188,27395,26,-61,4,6188,27379,19,-75,4,6188.0,27378.0,17.0,-79.0,4.0,6188.0,27393.0,19.0,-75.0,4.0,6182.0,41235.0,17.0,-79.0,4.0,6188.0,21331.0,16.0,-81.0,4.0,1,1509266261605,4,37.0,3.0,16.0,12.0,15.0,121.208105,31.289402,121.208284,31.289647,121.208284,31.289647,121.208105,31.289402,121.206155,31.294312,121.203915,31.280386,121.20607379,31.28961135,75
12576,63,5198,56688,12,-89,4,5198,42518,5,-103,2,5198.0,49989.0,4.0,-105.0,1.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1524189886155,140,139.0,145.0,-999.0,-999.0,-999.0,121.22677,31.297156,121.218148,31.288526,121.217371,31.291607,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,121.21307451,31.28960175,99
4244,14,6188,25105,20,-73,4,6182,41139,13,-87,4,6188.0,27378.0,16.0,-81.0,4.0,6188.0,27394.0,17.0,-79.0,4.0,6188.0,25633.0,14.0,-85.0,4.0,6188.0,25089.0,16.0,-81.0,4.0,1,1509266759415,2,6.0,3.0,5.0,43.0,18.0,121.211975,31.276588,121.223131,31.287758,121.208284,31.289647,121.208105,31.289402,121.215471,31.274783,121.211975,31.276588,121.21341015,31.28576329,57
11434,50,5198,42518,24,-65,4,5198,42519,19,-75,4,5198.0,42517.0,16.0,-81.0,4.0,5198.0,42507.0,20.0,-73.0,4.0,5198.0,42509.0,18.0,-77.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1523882445747,139,143.0,141.0,142.0,148.0,-999.0,121.218148,31.288526,121.217792,31.288293,121.218883,31.292806,121.221928,31.289447,121.223001,31.284943,-999.0,-999.0,121.20958883,31.28618344,10
