,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
5536,21,4199,12499,22,-69,4,4199,29753,15,-83,4,4199.0,18539.0,19.0,-75.0,4.0,4199.0,29742.0,19.0,-75.0,4.0,4199.0,29752.0,21.0,-71.0,4.0,4199.0,18467.0,22.0,-69.0,4.0,1,1.53e+12,1,5.0,13.0,12.0,6.0,2.0,121.485106,31.285941,121.492659,31.283734,121.499165,31.284763,121.495039,31.296587,121.494757,31.284161,121.496847,31.283612,121.4966303,31.2843001,17
4830,19,6153,27902,31,-51,4,6153,27903,28,-57,4,6153.0,27913.0,20.0,-73.0,4.0,6153.0,28020.0,30.0,-53.0,4.0,6153.0,28021.0,22.0,-69.0,4.0,6153.0,28033.0,23.0,-67.0,4.0,0,1.53e+12,37,19.0,38.0,25.0,22.0,21.0,121.503581,31.28534,121.494429,31.278097,121.498646,31.28425,121.498923,31.281691,121.499699,31.276899,121.497323,31.285173,121.4965047,31.28389423,17
111,0,4199,29751,22,-69,4,4199,18639,20,-73,4,4199.0,29752.0,19.0,-75.0,4.0,4199.0,12499.0,16.0,-81.0,4.0,4199.0,18467.0,12.0,-89.0,4.0,4199.0,29753.0,20.0,-73.0,4.0,1,1.52e+12,9,4.0,6.0,1.0,2.0,5.0,121.49346,31.285513,121.490939,31.28661,121.494757,31.284161,121.485106,31.285941,121.496847,31.283612,121.492659,31.283734,121.4930266,31.28497751,10
3774,18,6153,27912,19,-75,4,6362,29949,16,-81,4,6153.0,28032.0,15.0,-83.0,4.0,6153.0,28031.0,19.0,-75.0,4.0,6153.0,27903.0,11.0,-91.0,3.0,6153.0,27902.0,13.0,-87.0,4.0,1,1.53e+12,23,20.0,18.0,24.0,19.0,37.0,121.501757,31.285306,121.508039,31.286935,121.50187,31.284054,121.495261,31.288196,121.494429,31.278097,121.503581,31.28534,121.5005003,31.28696387,55
1804,15,6362,29978,30,-53,4,6153,27903,15,-83,4,6153.0,28032.0,18.0,-77.0,4.0,6305.0,17144.0,17.0,-79.0,4.0,6153.0,27912.0,20.0,-73.0,4.0,6362.0,29968.0,17.0,-79.0,4.0,0,1.51e+12,60,19.0,18.0,57.0,23.0,52.0,121.504101,31.283884,121.494429,31.278097,121.50187,31.284054,121.505035,31.283008,121.501757,31.285306,121.504264,31.277168,121.4969439,31.28375822,17
5374,21,4199,29752,27,-59,4,4199,12499,26,-61,4,4199.0,29753.0,21.0,-71.0,4.0,4199.0,29742.0,24.0,-65.0,4.0,4199.0,29751.0,20.0,-73.0,4.0,4199.0,18539.0,18.0,-77.0,4.0,1,1.53e+12,6,1.0,5.0,12.0,9.0,13.0,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,121.49346,31.285513,121.499165,31.284763,121.4955204,31.28581913,1
1527,14,6153,27913,30,-53,4,6153,28021,27,-59,4,6153.0,28033.0,24.0,-65.0,4.0,6153.0,27903.0,22.0,-69.0,4.0,6153.0,27902.0,22.0,-69.0,4.0,6153.0,28032.0,23.0,-67.0,4.0,1,1.51e+12,38,22.0,21.0,19.0,37.0,18.0,121.498646,31.28425,121.499699,31.276899,121.497323,31.285173,121.494429,31.278097,121.503581,31.28534,121.50187,31.284054,121.5012035,31.28459751,58
4358,18,6153,27902,22,-69,4,6153,28020,19,-75,4,6153.0,27913.0,17.0,-79.0,4.0,6153.0,28031.0,16.0,-81.0,4.0,6153.0,28033.0,21.0,-71.0,4.0,6153.0,27903.0,15.0,-83.0,4.0,1,1.53e+12,37,25.0,38.0,24.0,21.0,19.0,121.503581,31.28534,121.498923,31.281691,121.498646,31.28425,121.495261,31.288196,121.497323,31.285173,121.494429,31.278097,121.4956849,31.28607871,1
1818,15,6362,29978,23,-67,4,6153,28032,20,-73,4,6305.0,17144.0,16.0,-81.0,4.0,6153.0,27912.0,21.0,-71.0,4.0,6362.0,29977.0,19.0,-75.0,4.0,6362.0,29966.0,17.0,-79.0,4.0,0,1.51e+12,60,18.0,57.0,23.0,63.0,56.0,121.504101,31.283884,121.50187,31.284054,121.505035,31.283008,121.501757,31.285306,121.503721,31.281037,121.507277,31.283308,121.4969439,31.28375822,17
5243,21,4199,29751,29,-55,4,4199,29753,20,-73,4,4199.0,29752.0,20.0,-73.0,4.0,4199.0,12499.0,25.0,-63.0,4.0,4199.0,29742.0,28.0,-57.0,4.0,0.0,0.0,20.0,-73.0,4.0,1,1.53e+12,9,5.0,6.0,1.0,12.0,-999.0,121.49346,31.285513,121.492659,31.283734,121.494757,31.284161,121.485106,31.285941,121.495039,31.296587,-999.0,-999.0,121.4948904,31.28646583,53
3666,18,6153,27912,19,-75,4,6153,28032,19,-75,4,6362.0,29949.0,16.0,-81.0,4.0,6153.0,27902.0,12.0,-89.0,4.0,6362.0,30071.0,14.0,-85.0,4.0,6153.0,28031.0,14.0,-85.0,4.0,1,1.53e+12,23,18.0,20.0,37.0,64.0,24.0,121.501757,31.285306,121.50187,31.284054,121.508039,31.286935,121.503581,31.28534,121.503121,31.288529,121.495261,31.288196,121.5019472,31.2867069,15
836,7,4199,18537,21,-71,4,4199,18618,22,-69,4,4199.0,12498.0,23.0,-67.0,4.0,4199.0,18619.0,24.0,-65.0,4.0,4199.0,18539.0,19.0,-75.0,4.0,0.0,0.0,21.0,-71.0,4.0,0,1.52e+12,26,33.0,28.0,16.0,13.0,-999.0,121.499263,31.287606,121.499455,31.28776,121.499286,31.289474,121.499258,31.288113,121.499165,31.284763,-999.0,-999.0,121.4968838,31.28226504,46
4906,20,6153,28033,30,-53,4,6153,27903,25,-63,4,6153.0,27913.0,23.0,-67.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27905.0,21.0,-71.0,4.0,6153.0,27902.0,23.0,-67.0,4.0,1,1.53e+12,21,19.0,38.0,24.0,87.0,37.0,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,121.495261,31.288196,121.486917,31.274206,121.503581,31.28534,121.4964554,31.28444552,17
2395,17,6362,29967,23,-67,4,6362,30073,18,-77,4,6305.0,58243.0,18.0,-77.0,4.0,6362.0,30074.0,24.0,-65.0,4.0,6362.0,30075.0,15.0,-83.0,4.0,6362.0,30014.0,13.0,-87.0,4.0,0,1.52e+12,47,55.0,51.0,48.0,40.0,66.0,121.511947,31.281646,121.507842,31.28561,121.514716,31.281609,121.51078,31.282514,121.505676,31.279911,121.515213,31.28467,121.5106072,31.28008081,3
3485,17,6153,28033,31,-51,4,6153,27902,21,-71,4,6153.0,28021.0,21.0,-71.0,4.0,6153.0,28033.0,28.0,-57.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27913.0,21.0,-71.0,4.0,0,1.52e+12,21,37.0,22.0,21.0,24.0,38.0,121.497323,31.285173,121.503581,31.28534,121.499699,31.276899,121.497323,31.285173,121.495261,31.288196,121.498646,31.28425,121.4967821,31.28346399,33
