,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6
0,38,6271,10781195,42,-98,3,2147483647,2147483647,45,-95,4,2147483647,2147483647,23,-117,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,83,414,-1,-1,-1,1510998707965,121.2132,31.28892,9,25.0,479.0,-1.0,-1.0,-1.0
1,8,6154,13284363,51,-89,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,44,-96,3,2147483647,2147483647,52,-88,4,2147483647,2147483647,47,-93,4,2147483647,2147483647,44,-96,3,1,297,38,162,48,414,1509266671797,121.217453,31.290256,4,74.0,225.0,63.0,75.0,10.0
2,18,6271,8889110,56,-84,4,2147483647,2147483647,63,-77,4,2147483647,2147483647,58,-82,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,14,83,-1,-1,-1,1509791178337,121.212872,31.289217,7,221.0,27.0,-1.0,-1.0,-1.0
3,36,6271,11138581,61,-79,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,39,-101,3,-1,0,-1,-1,-1,0,417,414,60,299,-1,1510748600110,121.209334,31.283857,1,297.0,233.0,0.0,305.0,-1.0
4,9,6271,8889110,58,-82,4,2147483647,2147483647,46,-94,4,2147483647,2147483647,44,-96,3,2147483647,2147483647,71,-69,4,2147483647,2147483647,54,-86,4,-1,0,-1,-1,-1,1,81,82,83,414,-1,1509266380692,121.212872,31.289217,7,18.0,131.0,27.0,232.0,-1.0
5,8,6271,8889120,54,-86,4,2147483647,2147483647,47,-93,4,2147483647,2147483647,35,-105,3,2147483647,2147483647,32,-108,2,2147483647,2147483647,44,-96,3,2147483647,2147483647,50,-90,4,1,467,170,168,460,96,1509266312609,121.207916,31.291125,25,128.0,125.0,532.0,129.0,376.0
6,37,6271,13073675,76,-64,4,2147483647,2147483647,67,-73,4,2147483647,2147483647,61,-79,4,2147483647,2147483647,57,-83,4,2147483647,2147483647,59,-81,4,2147483647,2147483647,54,-86,4,1,417,419,414,170,418,1510752826411,121.207419,31.283617,2,284.0,318.0,12.0,11.0,310.0
7,18,6271,8889110,56,-84,4,2147483647,2147483647,55,-85,4,2147483647,2147483647,56,-84,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,14,83,-1,-1,-1,1509791203580,121.212872,31.289217,7,221.0,27.0,-1.0,-1.0,-1.0
8,8,6154,13284363,66,-74,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,52,-88,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,48,288,-1,-1,-1,1509266570993,121.217453,31.290256,4,75.0,380.0,-1.0,-1.0,-1.0
9,19,6154,13284373,53,-87,4,2147483647,2147483647,54,-86,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,46,-94,4,2147483647,2147483647,46,-94,4,2147483647,2147483647,41,-99,3,0,416,83,486,341,81,1509874015181,121.2236542,31.29082332,3,3.0,8.0,9.0,6.0,37.0
