,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,conf,error,Longitude,Latitude,p_gid,gid
0,0,6266,12842763,67,-73,4,2147483647,2147483647,63,-77,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,0,387,102,446,103.0,-1.0,1521792846923,121.49826,31.285127,4,12.0,112.0,13.0,111.0,-1.0,1,0.6,121.49607062,31.28294881,8,8
1,2,6266,8914443,72,-68,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,489,48,103,-1.0,-1.0,1521793952648,121.497708,31.282674,1,0.0,62.0,2.0,-1.0,-1.0,1,0.6,121.49639682,31.28344556,8,8
2,10,6266,8966933,74,-66,4,-1,0,-1,-1,-1,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1.0,-1.0,1521796064811,121.494185,31.286931,13,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.6,121.49471572,31.28649125,26,26
3,6,6266,8966677,64,-76,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,103,319,-1,-1.0,-999.0,1521794823408,121.49548,31.283645,18,61.0,66.0,-1.0,-1.0,-1.0,1,0.6,121.49514024,31.28503021,3,3
4,9,6166,8839189,62,-78,4,2147483647,2147483647,63,-77,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,320,319,318,314.0,92.0,1521795911062,121.494078,31.28769,12,42.0,41.0,103.0,150.0,122.0,1,0.6,121.4966909,31.28661194,11,11
5,0,6266,8966923,77,-63,4,2147483647,2147483647,58,-82,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,0,313,195,92,314.0,-1.0,1521793298483,121.49634,31.287991,11,38.0,121.0,39.0,161.0,-1.0,1,0.6,121.49607062,31.28294881,8,8
6,0,6266,8966667,72,-68,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,319,90,-1,-1.0,-1.0,1521793474023,121.493758,31.285023,16,53.0,52.0,-1.0,-1.0,-1.0,1,0.6,121.49331288,31.28595532,17,1
7,0,6266,8914443,67,-73,4,2147483647,2147483647,62,-78,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,388,103,489,-1.0,-1.0,1521792593378,121.497708,31.282674,1,1.0,2.0,0.0,-1.0,-1.0,1,0.6,121.49605806,31.28294734,8,2
8,8,6266,8914443,68,-72,4,2147483647,2147483647,41,-99,3,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,360,103,102,489.0,-999.0,1521795344874,121.497708,31.282674,1,88.0,2.0,7.0,0.0,-1.0,1,0.6,121.49599279,31.28356392,22,22
9,0,6266,8966667,65,-75,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,90,319,-1,-1.0,-1.0,1521793489186,121.493758,31.285023,16,52.0,53.0,-1.0,-1.0,-1.0,1,0.6,121.49307157,31.28554864,5,5
10,4,6266,13056267,52,-88,4,2147483647,2147483647,48,-92,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,414,248,389,-1.0,-1.0,1521794503463,121.5048991,31.28309848,6,18.0,20.0,17.0,-1.0,-1.0,1,0.6,121.50135039,31.28496175,20,20
11,9,6266,8966933,67,-73,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,318,314,-1,-1.0,-1.0,1521795961950,121.494185,31.286931,13,43.0,44.0,-1.0,-1.0,-1.0,1,0.6,121.4966909,31.28661194,11,11
12,10,6266,8966677,75,-65,4,2147483647,2147483647,57,-83,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,104,103,247,314.0,246.0,1521796143768,121.49548,31.283645,18,87.0,61.0,106.0,86.0,68.0,1,0.6,121.49546815,31.28620791,21,21
13,11,6266,13525535,52,-88,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,102,103,319,246.0,313.0,1521796265847,121.495576,31.290826,14,108.0,145.0,46.0,144.0,142.0,1,0.6,121.49525965,31.28490205,3,3
