,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6
0,16,6271,13073675,68,-72,4,2147483647,2147483647,62,-78,4,2147483647,2147483647,45,-95,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,170,414,-1,-1,-1,1509525175934,121.207419,31.283617,2,11.0,12.0,-1.0,-1.0,-1.0
1,30,6154,13284373,61,-79,4,2147483647,2147483647,54,-86,4,2147483647,2147483647,55,-85,4,2147483647,2147483647,49,-91,4,2147483647,2147483647,54,-86,4,-1,0,-1,-1,-1,1,83,14,416,341,-1,1510312292984,121.2236542,31.29082332,3,8.0,79.0,3.0,6.0,-1.0
2,35,6271,10781225,72,-68,4,2147483647,2147483647,45,-95,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,83,-1,-1,-1,-1,1510710163186,121.213284,31.290652,12,54.0,-1.0,-1.0,-1.0,-1.0
3,36,6271,11138581,60,-80,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,44,-96,3,2147483647,2147483647,45,-95,4,2147483647,2147483647,41,-99,3,0,417,414,170,60,416,1510749499715,121.209334,31.283857,1,297.0,233.0,43.0,0.0,471.0
4,9,6154,13284373,61,-79,4,2147483647,2147483647,53,-87,4,2147483647,2147483647,53,-87,4,2147483647,2147483647,55,-85,4,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,416,162,164,-1,-1,1509266825409,121.2236542,31.29082332,3,3.0,30.0,171.0,-1.0,-1.0
5,36,6271,11138581,58,-82,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,45,-95,4,2147483647,2147483647,34,-106,2,2147483647,2147483647,37,-103,3,0,417,414,60,37,299,1510747720555,121.209334,31.283857,1,297.0,233.0,0.0,307.0,305.0
6,36,6271,11138581,59,-81,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,51,-89,4,2147483647,2147483647,45,-95,4,2147483647,2147483647,36,-104,3,2147483647,2147483647,36,-104,3,0,414,417,60,299,419,1510747394411,121.209334,31.283857,1,233.0,297.0,0.0,305.0,475.0
7,36,6271,11138581,60,-80,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,51,-89,4,2147483647,2147483647,33,-107,2,2147483647,2147483647,46,-94,4,-1,0,-1,-1,-1,0,414,417,416,60,-1,1510748290077,121.209334,31.283857,1,233.0,297.0,471.0,0.0,-1.0
8,36,6271,11138581,58,-82,4,2147483647,2147483647,49,-91,4,2147483647,2147483647,49,-91,4,2147483647,2147483647,47,-93,4,2147483647,2147483647,39,-101,3,2147483647,2147483647,41,-99,3,0,417,414,60,299,416,1510747988450,121.209334,31.283857,1,297.0,233.0,0.0,305.0,471.0
9,20,6154,13284363,53,-87,4,2147483647,2147483647,44,-96,3,2147483647,2147483647,38,-102,3,2147483647,2147483647,45,-95,4,2147483647,2147483647,36,-104,3,-1,0,-1,-1,-1,1,83,414,489,14,-1,1509877841362,121.217453,31.290256,4,42.0,10.0,217.0,165.0,-1.0
10,24,6271,8889109,63,-77,4,2147483647,2147483647,44,-96,3,2147483647,2147483647,44,-96,3,2147483647,2147483647,45,-95,4,2147483647,2147483647,45,-95,4,2147483647,2147483647,45,-95,4,1,81,14,60,13,414,1510103542747,121.215639,31.294941,6,17.0,51.0,49.0,16.0,23.0
11,36,6271,11138581,58,-82,4,2147483647,2147483647,52,-88,4,2147483647,2147483647,50,-90,4,2147483647,2147483647,45,-95,4,2147483647,2147483647,42,-98,3,2147483647,2147483647,36,-104,3,0,414,417,60,299,341,1510746702112,121.209334,31.283857,1,233.0,297.0,0.0,305.0,306.0
