,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,conf,error,Longitude,Latitude,p_gid,gid
0,7,6266,8966677,71,-69,4,2147483647,2147483647,60,-80,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,103,-1,-1,-999.0,-999.0,1521795142053,121.49548,31.283645,18,61.0,-1.0,-1.0,-1.0,-1.0,1,11.7,121.49382392,31.28467427,9,9
1,0,6266,8966923,74,-66,4,2147483647,2147483647,58,-82,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,313,195,-1,-1.0,-1.0,1521793296359,121.49634,31.287991,11,38.0,121.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
2,0,6166,8839199,58,-82,4,2147483647,2147483647,42,-98,3,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,104,319,-1,-1.0,-1.0,1521793423397,121.490177,31.284893,15,49.0,50.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
3,9,6266,8966933,56,-84,4,2147483647,2147483647,49,-91,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,103,246,102,-1.0,-1.0,1521795798490,121.494185,31.286931,13,94.0,92.0,95.0,-1.0,-1.0,0,187.7,121.49740596,31.28640231,21,15
4,5,6266,8966677,64,-76,4,2147483647,2147483647,53,-87,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,103,314,-1,-1.0,-1.0,1521794676434,121.49548,31.283645,18,61.0,86.0,-1.0,-1.0,-1.0,1,29.6,121.49770187,31.28490995,25,25
5,5,6266,8966677,59,-81,4,2147483647,2147483647,47,-93,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,319,104,-1,-1.0,-1.0,1521794781418,121.49548,31.283645,18,66.0,87.0,-1.0,-1.0,-1.0,1,4.1,121.49739607,31.285062,25,25
6,3,6266,8898335,74,-66,4,2147483647,2147483647,42,-98,3,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,103,-1,-1,-1.0,-1.0,1521794178425,121.494908,31.284184,19,73.0,-1.0,-1.0,-1.0,-1.0,1,49.2,121.49902887,31.28548278,0,0
7,8,6266,12842763,83,-57,4,2147483647,2147483647,64,-76,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,416,388,414,-1.0,-999.0,1521795453278,121.49826,31.285127,4,11.0,10.0,156.0,-1.0,-1.0,1,1.3,121.49629703,31.28354031,13,13
8,0,6266,8914443,66,-74,4,2147483647,2147483647,58,-82,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,388,103,489,-1.0,-1.0,1521792557733,121.497708,31.282674,1,1.0,2.0,0.0,-1.0,-1.0,1,11.8,121.4960609,31.2829424,2,2
9,3,6266,8898335,75,-65,4,2147483647,2147483647,36,-104,3,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,389,-1,-1,-1.0,-1.0,1521794141467,121.494908,31.284184,19,70.0,-1.0,-1.0,-1.0,-1.0,0,70.7,121.49942221,31.28521149,0,0
