ECGI_Raw,PCI,1F_UARFCN,制式,TAC,经度,维度,方向角,下倾角,天线挂高,小区类型,参考信号功率,A,B,ECGI
8388619,385,1650,L1800,6146,121.51583,31.23638,60,7,33,宏小区,152,32768,11,8391446
8388629,386,1650,L1800,6146,121.51583,31.23638,160,13,33,宏小区,152,32768,21,8391456
8388639,384,1650,L1800,6146,121.51583,31.23638,300,14,33,宏小区,152,32768,31,8391466
8388620,385,450,L2100,6146,121.51583,31.23638,60,4,33,宏小区,152,32768,12,8391447
8388630,386,450,L2100,6146,121.51583,31.23638,160,4,33,宏小区,152,32768,22,8391457
8388640,384,450,L2100,6146,121.51583,31.23638,270,7,33,宏小区,152,32768,32,8391467
8388644,384,1506,L1800,6146,121.51583,31.23638,300,14,33,宏小区,152,32768,36,8391471
8388875,45,1650,L1800,6146,121.49583,31.23861,60,11,44,宏小区,152,32769,11,8391702
8388885,47,1650,L1800,6146,121.49583,31.23861,170,9,44,宏小区,152,32769,21,8391712
8388895,46,1650,L1800,6146,121.49583,31.23861,250,12,44,宏小区,152,32769,31,8391722
8388900,45,1506,L1800,6146,121.49583,31.23861,70,9,44,宏小区,152,32769,36,8391727
8388886,47,1506,L1800,6146,121.49583,31.23861,180,9,44,宏小区,152,32769,22,8391713
8388896,46,1506,L1800,6146,121.49583,31.23861,250,9,44,宏小区,122,32769,32,8391723
8388877,45,450,L2100,6146,121.49583,31.23861,60,11,44,宏小区,152,32769,13,8391704
8388887,47,450,L2100,6146,121.49583,31.23861,170,9,44,宏小区,152,32769,23,8391714
8388897,46,450,L2100,6146,121.49583,31.23861,250,9,44,宏小区,152,32769,33,8391724
8389131,347,1650,L1800,6146,121.51965,31.23784,340,5,40,宏小区,152,32770,11,8391958
8389141,345,1650,L1800,6146,121.51965,31.23784,130,6,40,宏小区,152,32770,21,8391968
8389151,346,1650,L1800,6146,121.51965,31.23784,270,8,40,宏小区,152,32770,31,8391978
8389899,387,1650,L1800,6146,121.5161,31.2411,0,22,45,宏小区,152,32773,11,8392726
8389909,388,1650,L1800,6146,121.5161,31.2411,120,17,45,宏小区,152,32773,21,8392736
8389919,389,1650,L1800,6146,121.5161,31.2411,220,20,45,宏小区,152,32773,31,8392746
8389900,387,450,L2100,6146,121.5161,31.2411,0,22,45,宏小区,152,32773,12,8392727
8389910,388,450,L2100,6146,121.5161,31.2411,120,17,45,宏小区,152,32773,22,8392737
